Words,L1,L2,L3,L4,L5
AARGH,A,A,R,G,H
ABACA,A,B,A,C,A
ABACI,A,B,A,C,I
ABACK,A,B,A,C,K
ABAFT,A,B,A,F,T
ABASE,A,B,A,S,E
ABASH,A,B,A,S,H
ABATE,A,B,A,T,E
ABBEY,A,B,B,E,Y
ABBOT,A,B,B,O,T
ABEAM,A,B,E,A,M
ABEND,A,B,E,N,D
ABETS,A,B,E,T,S
ABHOR,A,B,H,O,R
ABIDE,A,B,I,D,E
ABLED,A,B,L,E,D
ABLER,A,B,L,E,R
ABODE,A,B,O,D,E
ABORT,A,B,O,R,T
ABOUT,A,B,O,U,T
ABOVE,A,B,O,V,E
ABSIT,A,B,S,I,T
ABUSE,A,B,U,S,E
ABUTS,A,B,U,T,S
ABUZZ,A,B,U,Z,Z
ABYSS,A,B,Y,S,S
ACHED,A,C,H,E,D
ACHES,A,C,H,E,S
ACHOO,A,C,H,O,O
ACIDS,A,C,I,D,S
ACING,A,C,I,N,G
ACKED,A,C,K,E,D
ACMES,A,C,M,E,S
ACNED,A,C,N,E,D
ACNES,A,C,N,E,S
ACORN,A,C,O,R,N
ACRES,A,C,R,E,S
ACRID,A,C,R,I,D
ACTED,A,C,T,E,D
ACTIN,A,C,T,I,N
ACTOR,A,C,T,O,R
ACUTE,A,C,U,T,E
ADAGE,A,D,A,G,E
ADAPT,A,D,A,P,T
ADDED,A,D,D,E,D
ADDER,A,D,D,E,R
ADDLE,A,D,D,L,E
ADEPT,A,D,E,P,T
ADIEU,A,D,I,E,U
ADIOS,A,D,I,O,S
ADLIB,A,D,L,I,B
ADMAN,A,D,M,A,N
ADMEN,A,D,M,E,N
ADMIT,A,D,M,I,T
ADMIX,A,D,M,I,X
ADOBE,A,D,O,B,E
ADOPT,A,D,O,P,T
ADORE,A,D,O,R,E
ADORN,A,D,O,R,N
ADULT,A,D,U,L,T
ADZES,A,D,Z,E,S
AEGIS,A,E,G,I,S
AERIE,A,E,R,I,E
AFFIX,A,F,F,I,X
AFIRE,A,F,I,R,E
AFOOT,A,F,O,O,T
AFORE,A,F,O,R,E
AFOUL,A,F,O,U,L
AFTER,A,F,T,E,R
AGAIN,A,G,A,I,N
AGAPE,A,G,A,P,E
AGARS,A,G,A,R,S
AGATE,A,G,A,T,E
AGAVE,A,G,A,V,E
AGENT,A,G,E,N,T
AGILE,A,G,I,L,E
AGING,A,G,I,N,G
AGLEY,A,G,L,E,Y
AGLOW,A,G,L,O,W
AGONE,A,G,O,N,E
AGONY,A,G,O,N,Y
AGORA,A,G,O,R,A
AGREE,A,G,R,E,E
AGUES,A,G,U,E,S
AHEAD,A,H,E,A,D
AHHHH,A,H,H,H,H
AHOLD,A,H,O,L,D
AHOYS,A,H,O,Y,S
AIDED,A,I,D,E,D
AIDER,A,I,D,E,R
AIDES,A,I,D,E,S
AILED,A,I,L,E,D
AIMED,A,I,M,E,D
AIMER,A,I,M,E,R
AIOLI,A,I,O,L,I
AIRED,A,I,R,E,D
AIRER,A,I,R,E,R
AISLE,A,I,S,L,E
AITCH,A,I,T,C,H
AJUGA,A,J,U,G,A
ALACK,A,L,A,C,K
ALARM,A,L,A,R,M
ALBUM,A,L,B,U,M
ALDER,A,L,D,E,R
ALECK,A,L,E,C,K
ALEPH,A,L,E,P,H
ALERT,A,L,E,R,T
ALGAE,A,L,G,A,E
ALGAL,A,L,G,A,L
ALGIN,A,L,G,I,N
ALIAS,A,L,I,A,S
ALIBI,A,L,I,B,I
ALIEN,A,L,I,E,N
ALIGN,A,L,I,G,N
ALIKE,A,L,I,K,E
ALIVE,A,L,I,V,E
ALKYD,A,L,K,Y,D
ALKYL,A,L,K,Y,L
ALLAY,A,L,L,A,Y
ALLEY,A,L,L,E,Y
ALLOT,A,L,L,O,T
ALLOW,A,L,L,O,W
ALLOY,A,L,L,O,Y
ALOES,A,L,O,E,S
ALOFT,A,L,O,F,T
ALOHA,A,L,O,H,A
ALONE,A,L,O,N,E
ALONG,A,L,O,N,G
ALOOF,A,L,O,O,F
ALOUD,A,L,O,U,D
ALPHA,A,L,P,H,A
ALTAR,A,L,T,A,R
ALTER,A,L,T,E,R
ALTHO,A,L,T,H,O
ALTOS,A,L,T,O,S
ALUMS,A,L,U,M,S
ALWAY,A,L,W,A,Y
AMAHS,A,M,A,H,S
AMASS,A,M,A,S,S
AMAZE,A,M,A,Z,E
AMBER,A,M,B,E,R
AMBIT,A,M,B,I,T
AMBLE,A,M,B,L,E
AMEBA,A,M,E,B,A
AMEND,A,M,E,N,D
AMENS,A,M,E,N,S
AMIDE,A,M,I,D,E
AMIGO,A,M,I,G,O
AMINE,A,M,I,N,E
AMINO,A,M,I,N,O
AMISS,A,M,I,S,S
AMITY,A,M,I,T,Y
AMMOS,A,M,M,O,S
AMONG,A,M,O,N,G
AMOUR,A,M,O,U,R
AMPED,A,M,P,E,D
AMPLE,A,M,P,L,E
AMPLY,A,M,P,L,Y
AMUCK,A,M,U,C,K
AMUSE,A,M,U,S,E
AMYLS,A,M,Y,L,S
ANDED,A,N,D,E,D
ANENT,A,N,E,N,T
ANGEL,A,N,G,E,L
ANGER,A,N,G,E,R
ANGLE,A,N,G,L,E
ANGRY,A,N,G,R,Y
ANGST,A,N,G,S,T
ANILE,A,N,I,L,E
ANIMA,A,N,I,M,A
ANION,A,N,I,O,N
ANISE,A,N,I,S,E
ANKHS,A,N,K,H,S
ANKLE,A,N,K,L,E
ANNAS,A,N,N,A,S
ANNEX,A,N,N,E,X
ANNOY,A,N,N,O,Y
ANNUL,A,N,N,U,L
ANNUM,A,N,N,U,M
ANODE,A,N,O,D,E
ANOLE,A,N,O,L,E
ANTED,A,N,T,E,D
ANTES,A,N,T,E,S
ANTIC,A,N,T,I,C
ANTIS,A,N,T,I,S
ANTSY,A,N,T,S,Y
ANVIL,A,N,V,I,L
AORTA,A,O,R,T,A
APACE,A,P,A,C,E
APART,A,P,A,R,T
APERS,A,P,E,R,S
APHID,A,P,H,I,D
APHIS,A,P,H,I,S
APIAN,A,P,I,A,N
APING,A,P,I,N,G
APISH,A,P,I,S,H
APNEA,A,P,N,E,A
APORT,A,P,O,R,T
APPLE,A,P,P,L,E
APPLY,A,P,P,L,Y
APRON,A,P,R,O,N
APSES,A,P,S,E,S
APSOS,A,P,S,O,S
APTLY,A,P,T,L,Y
AQUAE,A,Q,U,A,E
AQUAS,A,Q,U,A,S
ARBOR,A,R,B,O,R
ARCED,A,R,C,E,D
ARDOR,A,R,D,O,R
AREAL,A,R,E,A,L
AREAS,A,R,E,A,S
ARENA,A,R,E,N,A
ARGON,A,R,G,O,N
ARGOT,A,R,G,O,T
ARGUE,A,R,G,U,E
ARIAS,A,R,I,A,S
ARISE,A,R,I,S,E
ARITY,A,R,I,T,Y
ARMED,A,R,M,E,D
ARMOR,A,R,M,O,R
AROMA,A,R,O,M,A
AROSE,A,R,O,S,E
ARRAS,A,R,R,A,S
ARRAY,A,R,R,A,Y
ARROW,A,R,R,O,W
ARSES,A,R,S,E,S
ARSON,A,R,S,O,N
ARTSY,A,R,T,S,Y
ARUMS,A,R,U,M,S
ASANA,A,S,A,N,A
ASCOT,A,S,C,O,T
ASHEN,A,S,H,E,N
ASHES,A,S,H,E,S
ASIDE,A,S,I,D,E
ASKED,A,S,K,E,D
ASKER,A,S,K,E,R
ASKEW,A,S,K,E,W
ASPEN,A,S,P,E,N
ASPIC,A,S,P,I,C
ASSAI,A,S,S,A,I
ASSAY,A,S,S,A,Y
ASSED,A,S,S,E,D
ASSES,A,S,S,E,S
ASSET,A,S,S,E,T
ASTER,A,S,T,E,R
ASTIR,A,S,T,I,R
ASTRO,A,S,T,R,O
ATILT,A,T,I,L,T
ATLAS,A,T,L,A,S
ATOLL,A,T,O,L,L
ATOMS,A,T,O,M,S
ATONE,A,T,O,N,E
ATRIA,A,T,R,I,A
ATTAR,A,T,T,A,R
ATTIC,A,T,T,I,C
AUDIO,A,U,D,I,O
AUDIT,A,U,D,I,T
AUGER,A,U,G,E,R
AUGHT,A,U,G,H,T
AUGUR,A,U,G,U,R
AUNTS,A,U,N,T,S
AURAE,A,U,R,A,E
AURAL,A,U,R,A,L
AURAS,A,U,R,A,S
AURIC,A,U,R,I,C
AUTOS,A,U,T,O,S
AVAIL,A,V,A,I,L
AVANT,A,V,A,N,T
AVAST,A,V,A,S,T
AVERS,A,V,E,R,S
AVERT,A,V,E,R,T
AVIAN,A,V,I,A,N
AVOID,A,V,O,I,D
AVOWS,A,V,O,W,S
AWAIT,A,W,A,I,T
AWAKE,A,W,A,K,E
AWARD,A,W,A,R,D
AWARE,A,W,A,R,E
AWASH,A,W,A,S,H
AWAYS,A,W,A,Y,S
AWFUL,A,W,F,U,L
AWING,A,W,I,N,G
AWOKE,A,W,O,K,E
AXELS,A,X,E,L,S
AXIAL,A,X,I,A,L
AXING,A,X,I,N,G
AXIOM,A,X,I,O,M
AXLED,A,X,L,E,D
AXLES,A,X,L,E,S
AXMAN,A,X,M,A,N
AXMEN,A,X,M,E,N
AXONS,A,X,O,N,S
AYINS,A,Y,I,N,S
AZINE,A,Z,I,N,E
AZOIC,A,Z,O,I,C
AZURE,A,Z,U,R,E
BABEL,B,A,B,E,L
BABES,B,A,B,E,S
BACKS,B,A,C,K,S
BACON,B,A,C,O,N
BADDY,B,A,D,D,Y
BADGE,B,A,D,G,E
BADLY,B,A,D,L,Y
BAGEL,B,A,G,E,L
BAGGY,B,A,G,G,Y
BAHTS,B,A,H,T,S
BAILS,B,A,I,L,S
BAIRN,B,A,I,R,N
BAITS,B,A,I,T,S
BAIZE,B,A,I,Z,E
BAKED,B,A,K,E,D
BAKER,B,A,K,E,R
BAKES,B,A,K,E,S
BALDS,B,A,L,D,S
BALDY,B,A,L,D,Y
BALED,B,A,L,E,D
BALER,B,A,L,E,R
BALES,B,A,L,E,S
BALKS,B,A,L,K,S
BALKY,B,A,L,K,Y
BALLS,B,A,L,L,S
BALLY,B,A,L,L,Y
BALMS,B,A,L,M,S
BALMY,B,A,L,M,Y
BALSA,B,A,L,S,A
BANAL,B,A,N,A,L
BANDS,B,A,N,D,S
BANDY,B,A,N,D,Y
BANES,B,A,N,E,S
BANGS,B,A,N,G,S
BANJO,B,A,N,J,O
BANKS,B,A,N,K,S
BANNS,B,A,N,N,S
BARBS,B,A,R,B,S
BARDS,B,A,R,D,S
BARED,B,A,R,E,D
BARER,B,A,R,E,R
BARES,B,A,R,E,S
BARFS,B,A,R,F,S
BARFY,B,A,R,F,Y
BARGE,B,A,R,G,E
BARIC,B,A,R,I,C
BARKS,B,A,R,K,S
BARKY,B,A,R,K,Y
BARMS,B,A,R,M,S
BARMY,B,A,R,M,Y
BARNS,B,A,R,N,S
BARON,B,A,R,O,N
BASAL,B,A,S,A,L
BASED,B,A,S,E,D
BASER,B,A,S,E,R
BASES,B,A,S,E,S
BASIC,B,A,S,I,C
BASIL,B,A,S,I,L
BASIN,B,A,S,I,N
BASIS,B,A,S,I,S
BASKS,B,A,S,K,S
BASSI,B,A,S,S,I
BASSO,B,A,S,S,O
BASTE,B,A,S,T,E
BATCH,B,A,T,C,H
BATED,B,A,T,E,D
BATES,B,A,T,E,S
BATHE,B,A,T,H,E
BATHS,B,A,T,H,S
BATIK,B,A,T,I,K
BATON,B,A,T,O,N
BATTY,B,A,T,T,Y
BAUDS,B,A,U,D,S
BAULK,B,A,U,L,K
BAWDY,B,A,W,D,Y
BAWLS,B,A,W,L,S
BAYED,B,A,Y,E,D
BAYOU,B,A,Y,O,U
BAZAR,B,A,Z,A,R
BEACH,B,E,A,C,H
BEADS,B,E,A,D,S
BEADY,B,E,A,D,Y
BEAKS,B,E,A,K,S
BEAKY,B,E,A,K,Y
BEAMS,B,E,A,M,S
BEAMY,B,E,A,M,Y
BEANO,B,E,A,N,O
BEANS,B,E,A,N,S
BEARD,B,E,A,R,D
BEARS,B,E,A,R,S
BEAST,B,E,A,S,T
BEATS,B,E,A,T,S
BEAUS,B,E,A,U,S
BEAUT,B,E,A,U,T
BEAUX,B,E,A,U,X
BEBOP,B,E,B,O,P
BEBUG,B,E,B,U,G
BECKS,B,E,C,K,S
BEDEW,B,E,D,E,W
BEDIM,B,E,D,I,M
BEECH,B,E,E,C,H
BEEFS,B,E,E,F,S
BEEFY,B,E,E,F,Y
BEEPS,B,E,E,P,S
BEERS,B,E,E,R,S
BEERY,B,E,E,R,Y
BEETS,B,E,E,T,S
BEFIT,B,E,F,I,T
BEFOG,B,E,F,O,G
BEGAN,B,E,G,A,N
BEGAT,B,E,G,A,T
BEGET,B,E,G,E,T
BEGIN,B,E,G,I,N
BEGOT,B,E,G,O,T
BEGUN,B,E,G,U,N
BEIGE,B,E,I,G,E
BEING,B,E,I,N,G
BELAY,B,E,L,A,Y
BELCH,B,E,L,C,H
BELIE,B,E,L,I,E
BELLE,B,E,L,L,E
BELLI,B,E,L,L,I
BELLS,B,E,L,L,S
BELLY,B,E,L,L,Y
BELOW,B,E,L,O,W
BELTS,B,E,L,T,S
BENCH,B,E,N,C,H
BENDS,B,E,N,D,S
BENTS,B,E,N,T,S
BERET,B,E,R,E,T
BERGS,B,E,R,G,S
BERMS,B,E,R,M,S
BERRY,B,E,R,R,Y
BERTH,B,E,R,T,H
BERYL,B,E,R,Y,L
BESET,B,E,S,E,T
BESOT,B,E,S,O,T
BESTS,B,E,S,T,S
BETAS,B,E,T,A,S
BETEL,B,E,T,E,L
BETHS,B,E,T,H,S
BEVEL,B,E,V,E,L
BEZEL,B,E,Z,E,L
BHANG,B,H,A,N,G
BHOYS,B,H,O,Y,S
BIBBS,B,I,B,B,S
BIBLE,B,I,B,L,E
BIDDY,B,I,D,D,Y
BIDED,B,I,D,E,D
BIDER,B,I,D,E,R
BIDES,B,I,D,E,S
BIDET,B,I,D,E,T
BIERS,B,I,E,R,S
BIFFS,B,I,F,F,S
BIFFY,B,I,F,F,Y
BIGGY,B,I,G,G,Y
BIGHT,B,I,G,H,T
BIGLY,B,I,G,L,Y
BIGOT,B,I,G,O,T
BIKED,B,I,K,E,D
BIKER,B,I,K,E,R
BIKES,B,I,K,E,S
BILES,B,I,L,E,S
BILGE,B,I,L,G,E
BILGY,B,I,L,G,Y
BILKS,B,I,L,K,S
BILLS,B,I,L,L,S
BILLY,B,I,L,L,Y
BIMBO,B,I,M,B,O
BINDS,B,I,N,D,S
BINGE,B,I,N,G,E
BINGO,B,I,N,G,O
BIOME,B,I,O,M,E
BIPED,B,I,P,E,D
BIPOD,B,I,P,O,D
BIRCH,B,I,R,C,H
BIRDS,B,I,R,D,S
BIRTH,B,I,R,T,H
BISON,B,I,S,O,N
BITCH,B,I,T,C,H
BITER,B,I,T,E,R
BITES,B,I,T,E,S
BITSY,B,I,T,S,Y
BITTY,B,I,T,T,Y
BLABS,B,L,A,B,S
BLACK,B,L,A,C,K
BLADE,B,L,A,D,E
BLAHS,B,L,A,H,S
BLAME,B,L,A,M,E
BLAND,B,L,A,N,D
BLANK,B,L,A,N,K
BLARE,B,L,A,R,E
BLASH,B,L,A,S,H
BLAST,B,L,A,S,T
BLATS,B,L,A,T,S
BLAZE,B,L,A,Z,E
BLEAK,B,L,E,A,K
BLEAR,B,L,E,A,R
BLEAT,B,L,E,A,T
BLEBS,B,L,E,B,S
BLEED,B,L,E,E,D
BLEEP,B,L,E,E,P
BLEND,B,L,E,N,D
BLESS,B,L,E,S,S
BLEST,B,L,E,S,T
BLIMP,B,L,I,M,P
BLIND,B,L,I,N,D
BLINI,B,L,I,N,I
BLINK,B,L,I,N,K
BLIPS,B,L,I,P,S
BLISS,B,L,I,S,S
BLITZ,B,L,I,T,Z
BLOAT,B,L,O,A,T
BLOBS,B,L,O,B,S
BLOCK,B,L,O,C,K
BLOCS,B,L,O,C,S
BLOKE,B,L,O,K,E
BLOND,B,L,O,N,D
BLOOD,B,L,O,O,D
BLOOM,B,L,O,O,M
BLOTS,B,L,O,T,S
BLOWN,B,L,O,W,N
BLOWS,B,L,O,W,S
BLOWY,B,L,O,W,Y
BLUED,B,L,U,E,D
BLUER,B,L,U,E,R
BLUES,B,L,U,E,S
BLUFF,B,L,U,F,F
BLUNT,B,L,U,N,T
BLURB,B,L,U,R,B
BLURS,B,L,U,R,S
BLURT,B,L,U,R,T
BLUSH,B,L,U,S,H
BOARD,B,O,A,R,D
BOARS,B,O,A,R,S
BOAST,B,O,A,S,T
BOATS,B,O,A,T,S
BOBBY,B,O,B,B,Y
BOCCE,B,O,C,C,E
BOCCI,B,O,C,C,I
BOCKS,B,O,C,K,S
BODED,B,O,D,E,D
BODES,B,O,D,E,S
BODGE,B,O,D,G,E
BOFFO,B,O,F,F,O
BOFFS,B,O,F,F,S
BOGEY,B,O,G,E,Y
BOGGY,B,O,G,G,Y
BOGIE,B,O,G,I,E
BOGUS,B,O,G,U,S
BOILS,B,O,I,L,S
BOLAS,B,O,L,A,S
BOLLS,B,O,L,L,S
BOLOS,B,O,L,O,S
BOLTS,B,O,L,T,S
BOMBE,B,O,M,B,E
BOMBS,B,O,M,B,S
BONDS,B,O,N,D,S
BONED,B,O,N,E,D
BONER,B,O,N,E,R
BONES,B,O,N,E,S
BONGO,B,O,N,G,O
BONGS,B,O,N,G,S
BONKS,B,O,N,K,S
BONNE,B,O,N,N,E
BONNY,B,O,N,N,Y
BONUS,B,O,N,U,S
BOOBS,B,O,O,B,S
BOOBY,B,O,O,B,Y
BOOED,B,O,O,E,D
BOOKS,B,O,O,K,S
BOOKY,B,O,O,K,Y
BOOMS,B,O,O,M,S
BOOMY,B,O,O,M,Y
BOONS,B,O,O,N,S
BOORS,B,O,O,R,S
BOOST,B,O,O,S,T
BOOTH,B,O,O,T,H
BOOTS,B,O,O,T,S
BOOTY,B,O,O,T,Y
BOOZE,B,O,O,Z,E
BOOZY,B,O,O,Z,Y
BORAX,B,O,R,A,X
BORED,B,O,R,E,D
BORER,B,O,R,E,R
BORES,B,O,R,E,S
BORIC,B,O,R,I,C
BORNE,B,O,R,N,E
BORON,B,O,R,O,N
BOSKY,B,O,S,K,Y
BOSOM,B,O,S,O,M
BOSON,B,O,S,O,N
BOSSA,B,O,S,S,A
BOSSY,B,O,S,S,Y
BOSUN,B,O,S,U,N
BOTCH,B,O,T,C,H
BOUGH,B,O,U,G,H
BOULE,B,O,U,L,E
BOUND,B,O,U,N,D
BOUTS,B,O,U,T,S
BOWED,B,O,W,E,D
BOWEL,B,O,W,E,L
BOWER,B,O,W,E,R
BOWIE,B,O,W,I,E
BOWLS,B,O,W,L,S
BOXED,B,O,X,E,D
BOXER,B,O,X,E,R
BOXES,B,O,X,E,S
BOZOS,B,O,Z,O,S
BRACE,B,R,A,C,E
BRACK,B,R,A,C,K
BRACT,B,R,A,C,T
BRADS,B,R,A,D,S
BRAES,B,R,A,E,S
BRAGS,B,R,A,G,S
BRAID,B,R,A,I,D
BRAIN,B,R,A,I,N
BRAKE,B,R,A,K,E
BRAND,B,R,A,N,D
BRANS,B,R,A,N,S
BRANT,B,R,A,N,T
BRASH,B,R,A,S,H
BRASS,B,R,A,S,S
BRATS,B,R,A,T,S
BRAVA,B,R,A,V,A
BRAVE,B,R,A,V,E
BRAVO,B,R,A,V,O
BRAWL,B,R,A,W,L
BRAWN,B,R,A,W,N
BRAYS,B,R,A,Y,S
BRAZE,B,R,A,Z,E
BREAD,B,R,E,A,D
BREAK,B,R,E,A,K
BREAM,B,R,E,A,M
BREED,B,R,E,E,D
BRENT,B,R,E,N,T
BREVE,B,R,E,V,E
BREWS,B,R,E,W,S
BRIAR,B,R,I,A,R
BRIBE,B,R,I,B,E
BRICK,B,R,I,C,K
BRIDE,B,R,I,D,E
BRIEF,B,R,I,E,F
BRIER,B,R,I,E,R
BRIES,B,R,I,E,S
BRIGS,B,R,I,G,S
BRIMS,B,R,I,M,S
BRINE,B,R,I,N,E
BRING,B,R,I,N,G
BRINK,B,R,I,N,K
BRINY,B,R,I,N,Y
BRISK,B,R,I,S,K
BROAD,B,R,O,A,D
BROIL,B,R,O,I,L
BROKE,B,R,O,K,E
BROMO,B,R,O,M,O
BRONC,B,R,O,N,C
BRONX,B,R,O,N,X
BROOD,B,R,O,O,D
BROOK,B,R,O,O,K
BROOM,B,R,O,O,M
BROTH,B,R,O,T,H
BROWN,B,R,O,W,N
BROWS,B,R,O,W,S
BRUIN,B,R,U,I,N
BRUIT,B,R,U,I,T
BRUNG,B,R,U,N,G
BRUNT,B,R,U,N,T
BRUSH,B,R,U,S,H
BRUSK,B,R,U,S,K
BRUTE,B,R,U,T,E
BUBBA,B,U,B,B,A
BUCKS,B,U,C,K,S
BUDDY,B,U,D,D,Y
BUDGE,B,U,D,G,E
BUENA,B,U,E,N,A
BUENO,B,U,E,N,O
BUFFA,B,U,F,F,A
BUFFO,B,U,F,F,O
BUFFS,B,U,F,F,S
BUGGY,B,U,G,G,Y
BUGLE,B,U,G,L,E
BUILD,B,U,I,L,D
BUILT,B,U,I,L,T
BULBS,B,U,L,B,S
BULGE,B,U,L,G,E
BULGY,B,U,L,G,Y
BULKS,B,U,L,K,S
BULKY,B,U,L,K,Y
BULLS,B,U,L,L,S
BULLY,B,U,L,L,Y
BUMPH,B,U,M,P,H
BUMPS,B,U,M,P,S
BUMPY,B,U,M,P,Y
BUNCH,B,U,N,C,H
BUNCO,B,U,N,C,O
BUNDS,B,U,N,D,S
BUNGS,B,U,N,G,S
BUNKO,B,U,N,K,O
BUNKS,B,U,N,K,S
BUNNY,B,U,N,N,Y
BUNTS,B,U,N,T,S
BUOYS,B,U,O,Y,S
BURET,B,U,R,E,T
BURGS,B,U,R,G,S
BURLS,B,U,R,L,S
BURLY,B,U,R,L,Y
BURNS,B,U,R,N,S
BURNT,B,U,R,N,T
BURPS,B,U,R,P,S
BURRO,B,U,R,R,O
BURRS,B,U,R,R,S
BURRY,B,U,R,R,Y
BURST,B,U,R,S,T
BUSBY,B,U,S,B,Y
BUSED,B,U,S,E,D
BUSES,B,U,S,E,S
BUSHY,B,U,S,H,Y
BUSKS,B,U,S,K,S
BUSTS,B,U,S,T,S
BUSTY,B,U,S,T,Y
BUTCH,B,U,T,C,H
BUTTE,B,U,T,T,E
BUTTS,B,U,T,T,S
BUTYL,B,U,T,Y,L
BUXOM,B,U,X,O,M
BUYER,B,U,Y,E,R
BUZZY,B,U,Z,Z,Y
BWANA,B,W,A,N,A
BYLAW,B,Y,L,A,W
BYRES,B,Y,R,E,S
BYTES,B,Y,T,E,S
BYWAY,B,Y,W,A,Y
CABAL,C,A,B,A,L
CABBY,C,A,B,B,Y
CABIN,C,A,B,I,N
CABLE,C,A,B,L,E
CACAO,C,A,C,A,O
CACHE,C,A,C,H,E
CACTI,C,A,C,T,I
CADDY,C,A,D,D,Y
CADET,C,A,D,E,T
CADGE,C,A,D,G,E
CADRE,C,A,D,R,E
CAFES,C,A,F,E,S
CAGED,C,A,G,E,D
CAGER,C,A,G,E,R
CAGES,C,A,G,E,S
CAGEY,C,A,G,E,Y
CAIRN,C,A,I,R,N
CAKED,C,A,K,E,D
CAKES,C,A,K,E,S
CALIX,C,A,L,I,X
CALKS,C,A,L,K,S
CALLA,C,A,L,L,A
CALLS,C,A,L,L,S
CALMS,C,A,L,M,S
CALVE,C,A,L,V,E
CALYX,C,A,L,Y,X
CAMEL,C,A,M,E,L
CAMEO,C,A,M,E,O
CAMPO,C,A,M,P,O
CAMPS,C,A,M,P,S
CAMPY,C,A,M,P,Y
CANAL,C,A,N,A,L
CANDY,C,A,N,D,Y
CANED,C,A,N,E,D
CANER,C,A,N,E,R
CANES,C,A,N,E,S
CANNA,C,A,N,N,A
CANNY,C,A,N,N,Y
CANOE,C,A,N,O,E
CANON,C,A,N,O,N
CANST,C,A,N,S,T
CANTO,C,A,N,T,O
CANTS,C,A,N,T,S
CAPED,C,A,P,E,D
CAPER,C,A,P,E,R
CAPES,C,A,P,E,S
CAPON,C,A,P,O,N
CAPOS,C,A,P,O,S
CARAT,C,A,R,A,T
CARDS,C,A,R,D,S
CARED,C,A,R,E,D
CARER,C,A,R,E,R
CARES,C,A,R,E,S
CARET,C,A,R,E,T
CARGO,C,A,R,G,O
CARNE,C,A,R,N,E
CARNY,C,A,R,N,Y
CAROB,C,A,R,O,B
CAROL,C,A,R,O,L
CAROM,C,A,R,O,M
CARON,C,A,R,O,N
CARPS,C,A,R,P,S
CARPY,C,A,R,P,Y
CARRY,C,A,R,R,Y
CARTE,C,A,R,T,E
CARTS,C,A,R,T,S
CARVE,C,A,R,V,E
CASAS,C,A,S,A,S
CASED,C,A,S,E,D
CASES,C,A,S,E,S
CASKS,C,A,S,K,S
CASTE,C,A,S,T,E
CASTS,C,A,S,T,S
CASUS,C,A,S,U,S
CATCH,C,A,T,C,H
CATER,C,A,T,E,R
CATTY,C,A,T,T,Y
CAULK,C,A,U,L,K
CAULS,C,A,U,L,S
CAUSE,C,A,U,S,E
CAVED,C,A,V,E,D
CAVES,C,A,V,E,S
CAVIL,C,A,V,I,L
CAWED,C,A,W,E,D
CEASE,C,E,A,S,E
CEDAR,C,E,D,A,R
CEDED,C,E,D,E,D
CEDER,C,E,D,E,R
CEDES,C,E,D,E,S
CEILS,C,E,I,L,S
CELEB,C,E,L,E,B
CELLO,C,E,L,L,O
